baseClass,equivalentClass
UMLS:C0008780,DOID:9562
UMLS:C0041327,DOID:2957
UMLS:C0010674,DOID:1485
UMLS:C0345982,DOID:5585
UMLS:C0010273,DOID:2339
UMLS:C0154084,DOID:8791
UMLS:C0339573,DOID:1070
UMLS:C1333630,DOID:4708
UMLS:C0011630,DOID:1563
UMLS:C0036363,DOID:10646
UMLS:C0085166,DOID:3385
UMLS:C0155183,DOID:13823
UMLS:C0153285,DOID:11186
UMLS:C0280134,DOID:2641
UMLS:C0013592,DOID:1570
UMLS:C1333074,DOID:6959
UMLS:C1332884,DOID:12969
UMLS:C0206725,DOID:4843
UMLS:C1332934,DOID:8043
UMLS:C0154060,DOID:9138
UMLS:C0040948,DOID:1254
UMLS:C1520159,DOID:7514
UMLS:C0346183,DOID:5681
UMLS:C0175693,DOID:14681
UMLS:C1334807,DOID:3610
UMLS:C1336903,DOID:4994
UMLS:C0205969,DOID:3284
UMLS:C1515212,DOID:7962
UMLS:C0014556,DOID:3328
UMLS:C0029454,DOID:13533
UMLS:C0856897,DOID:492
UMLS:C0334515,DOID:4486
UMLS:C0155515,DOID:1777
UMLS:C0156318,DOID:10353
UMLS:C0154437,DOID:12294
UMLS:C0334556,DOID:2775
UMLS:C0038478,DOID:2640
UMLS:C1333770,DOID:275
UMLS:C1335345,DOID:8216
UMLS:C1516860,DOID:4521
UMLS:C1514904,DOID:4894
UMLS:C0268394,DOID:9246
UMLS:C1456251,DOID:12637
UMLS:C0861856,DOID:3698
UMLS:C0155471,DOID:12546
UMLS:C0030579,DOID:10302
UMLS:C0006739,DOID:10211
UMLS:C0155704,DOID:13209
UMLS:C0025958,DOID:10907
UMLS:C0033948,DOID:7518
UMLS:C0028432,DOID:2825
UMLS:C0334444,DOID:3162
UMLS:C0346081,DOID:4517
UMLS:C0700594,DOID:4306
UMLS:C0014550,DOID:308
UMLS:C0085750,DOID:5998
UMLS:C0037997,DOID:2529
UMLS:C1332274,DOID:3446
UMLS:C1334585,DOID:10536
UMLS:C1514906,DOID:6838
UMLS:C1332923,DOID:4707
UMLS:C0155686,DOID:3951
UMLS:C1518949,DOID:4277
UMLS:C0041825,DOID:5782
UMLS:C1370510,DOID:8368
UMLS:C1515310,DOID:8193
UMLS:C0039093,DOID:11971
UMLS:C0345832,DOID:7505
UMLS:C1336750,DOID:8162
UMLS:C0011989,DOID:4997
UMLS:C0155582,DOID:14172
UMLS:C0017525,DOID:200
UMLS:C1517115,DOID:5124
UMLS:C0031024,DOID:2562
UMLS:C1333975,DOID:4047
UMLS:C0007112,DOID:2526
UMLS:C0917981,DOID:318
UMLS:C1332986,DOID:3361
UMLS:C1511076,DOID:4286
UMLS:C1518236,DOID:2151
UMLS:C1266173,DOID:4152
UMLS:C1266018,DOID:5026
UMLS:C0007286,DOID:12169
UMLS:C0155877,DOID:9415
UMLS:C0030568,DOID:14332
UMLS:C0034341,DOID:3651
UMLS:C1332276,DOID:4066
UMLS:C0278847,DOID:7214
UMLS:C0235270,DOID:2283
UMLS:C0259782,DOID:6951
UMLS:C0155077,DOID:4664
UMLS:C0026654,DOID:13099
UMLS:C1334675,DOID:6208
UMLS:C1519931,DOID:138
UMLS:C0751942,DOID:7558
UMLS:C0036203,DOID:13402
UMLS:C0017605,DOID:13550
UMLS:C1332312,DOID:4510
UMLS:C0206656,DOID:3246
UMLS:C0011405,DOID:5330
UMLS:C0221069,DOID:6712
UMLS:C0156214,DOID:9714
UMLS:C1332891,DOID:4048
UMLS:C1275668,DOID:3868
UMLS:C0334606,DOID:7211
UMLS:C0155561,DOID:1869
UMLS:C0016697,DOID:4671
UMLS:C0034359,DOID:1439
UMLS:C1516407,DOID:8361
UMLS:C0153208,DOID:12718
UMLS:C0022661,DOID:784
UMLS:C0156076,DOID:8680
UMLS:C0155295,DOID:10631
UMLS:C0023461,DOID:9254
UMLS:C0032461,DOID:8432
UMLS:C0039613,DOID:13822
UMLS:C0155147,DOID:13326
UMLS:C0042164,DOID:13141
UMLS:C0026552,DOID:2560
UMLS:C1333006,DOID:6160
UMLS:C0311386,DOID:2112
UMLS:C1335128,DOID:14459
UMLS:C0086768,DOID:6977
UMLS:C0238393,DOID:4054
UMLS:C0027656,DOID:201
UMLS:C1096639,DOID:3607
UMLS:C1266027,DOID:7531
UMLS:C0334695,DOID:5166
UMLS:C1096349,DOID:9300
UMLS:C1299240,DOID:7763
UMLS:C1335351,DOID:7611
UMLS:C1332619,DOID:6491
UMLS:C1335522,DOID:4011
UMLS:C0019112,DOID:9746
UMLS:C0856818,DOID:2835
UMLS:C0155238,DOID:12997
UMLS:C1336065,DOID:710
UMLS:C0155934,DOID:11693
UMLS:C1520081,DOID:7565
UMLS:C1511316,DOID:6657
UMLS:C1516474,DOID:8082
UMLS:C1519853,DOID:13958
UMLS:C0152193,DOID:11781
UMLS:C1520091,DOID:2060
UMLS:C0346342,DOID:296
UMLS:C1333472,DOID:2766
UMLS:C1335778,DOID:5284
UMLS:C1333420,DOID:4768
UMLS:C1333019,DOID:3813
UMLS:C0206664,DOID:3305
UMLS:C0153427,DOID:13499
UMLS:C0009373,DOID:5353
UMLS:C1335932,DOID:7984
UMLS:C0242645,DOID:14121
UMLS:C1370500,DOID:5504
UMLS:C0038828,DOID:3557
UMLS:C1518739,DOID:5532
UMLS:C0154856,DOID:12165
UMLS:C0272080,DOID:5378
